Smiles,Nr. of heavy atoms,mols,Formal Charge,Nr_of_wildcards
*c1cc(Br)c(*)c2c1N(C)C(=O)C2C[N+](=O)[O-],16,<rdkit.Chem.rdchem.Mol object at 0x7f73bc189310>,0,2
*c1ccc2c(c1*)CC1OC(C)CC21,13,<rdkit.Chem.rdchem.Mol object at 0x7f73bc1a37d0>,0,2
*c1ccc(*)c(C2=NC(C)(C)CC2)c1,13,<rdkit.Chem.rdchem.Mol object at 0x7f73bc1a3bc0>,0,2
*c1cccc(C2=NC(C)(C)CC2)c1*,13,<rdkit.Chem.rdchem.Mol object at 0x7f73bc1a0660>,0,2
*[c+]1[cH-][cH+][cH+][n-][c-]1*,6,<rdkit.Chem.rdchem.Mol object at 0x7f73bc1a0120>,0,2
*[c+]1[cH+][n-][c-](*)[cH+][cH-]1,6,<rdkit.Chem.rdchem.Mol object at 0x7f73bc1b6ea0>,0,2
*c1cc(*)cc([NH+]=[P-](=O)(c2ccccc2)c2ccccc2)c1,21,<rdkit.Chem.rdchem.Mol object at 0x7f73bc1b7300>,0,2
*c1ccc([NH+]=[P-](=O)(c2ccccc2)c2ccccc2)cc1*,21,<rdkit.Chem.rdchem.Mol object at 0x7f73bc1b5460>,0,2
*c1cc(*)c2cc(O)c(=O)[nH]c2c1,12,<rdkit.Chem.rdchem.Mol object at 0x7f73bc1a9930>,0,2
*c1ccc2c(*)c(O)c(=O)[nH]c2c1,12,<rdkit.Chem.rdchem.Mol object at 0x7f73bc1a8430>,0,2
*c1ccc(C(CO)=NNC(N)=S)c(*)c1,14,<rdkit.Chem.rdchem.Mol object at 0x7f73bc8f1c40>,0,2
*c1nc2n(c1*)S(=O)(=O)n1ccnc1CCC2,16,<rdkit.Chem.rdchem.Mol object at 0x7f73bc8f1a80>,0,2
*c1ccc2ccc3c(*)cccc3c2c1,14,<rdkit.Chem.rdchem.Mol object at 0x7f73bc1eb4c0>,0,2
*c1ccc2cc(*)c3ccccc3c2c1,14,<rdkit.Chem.rdchem.Mol object at 0x7f73bc1e87b0>,0,2
*c1ccc(O)c(C=Nc2ccc(Cl)c(*)n2)c1,16,<rdkit.Chem.rdchem.Mol object at 0x7f73bc1e8580>,0,2
*c1ccc(O)c(C=Nc2ccc(Cl)cn2)c1*,16,<rdkit.Chem.rdchem.Mol object at 0x7f73bc1eb060>,0,2
*c1c(C)[nH]n(*)c1=O,7,<rdkit.Chem.rdchem.Mol object at 0x7f73bc1e8d60>,0,2
*c1cc([N+](=O)[O-])c(*)c2c1CCCC2=O,14,<rdkit.Chem.rdchem.Mol object at 0x7f73bc1e9150>,0,2
*c1cc(Cl)cc(*)c1C1OCCc2c1noc2C=NO,19,<rdkit.Chem.rdchem.Mol object at 0x7f73bc84ef80>,0,2
*c1ccc(*)c([Si](OC)(c2ccccc2)C2CCNCC2)c1,21,<rdkit.Chem.rdchem.Mol object at 0x7f73bc84c190>,0,2
*c1cccc([Si](OC)(c2ccccc2)C2CCNCC2)c1*,21,<rdkit.Chem.rdchem.Mol object at 0x7f73bc2eb990>,0,2
*c1cccc(*)c1C,7,<rdkit.Chem.rdchem.Mol object at 0x7f73bc84d5b0>,0,2
*c1ccc2[n+](c1)[B-](F)(F)N(c1ccccc1*)N=C2C#N,20,<rdkit.Chem.rdchem.Mol object at 0x7f73bc31a9d0>,0,2
*c1ccc(N2N=C(C#N)c3cccc[n+]3[B-]2(F)F)c(*)c1,20,<rdkit.Chem.rdchem.Mol object at 0x7f73bc318890>,0,2
*c1ccc(N=Cc2ccccc2)c(*)c1,14,<rdkit.Chem.rdchem.Mol object at 0x7f73bc318350>,0,2
*c1ccc(N=Cc2ccccc2*)cc1,14,<rdkit.Chem.rdchem.Mol object at 0x7f73bc3183c0>,0,2
*c1nnn2c1c(*)nc1ccccc12,13,<rdkit.Chem.rdchem.Mol object at 0x7f73bc319230>,0,2
*c1ccc(C2=C(C=O)CC(C=C)O2)c(*)c1,15,<rdkit.Chem.rdchem.Mol object at 0x7f73bc319e00>,0,2
*C(=O)C1=C(c2ccc(*)cc2)OC(C=C)C1,15,<rdkit.Chem.rdchem.Mol object at 0x7f73bc311000>,0,2
*c1ccc2c(c1*)NCCN2,10,<rdkit.Chem.rdchem.Mol object at 0x7f73bc310dd0>,0,2
*c1ccc2cc(C3CCc4ccc(Cl)cc43)c(*)cc2c1,20,<rdkit.Chem.rdchem.Mol object at 0x7f73bc313a70>,0,2
*c1ccc2cc(C3CCc4ccc(Cl)cc43)cc(*)c2c1,20,<rdkit.Chem.rdchem.Mol object at 0x7f73bc3115b0>,0,2
*c1ccc(N2N=C(Br)N(c3ccc(*)cc3)N=C2Br)cc1,20,<rdkit.Chem.rdchem.Mol object at 0x7f73bc313450>,0,2
*c1cc2c(cc1*)-c1cccc(=O)cc1C(N)CC2,18,<rdkit.Chem.rdchem.Mol object at 0x7f73b7feda10>,0,2
*c1cc(*)c2c(c1)CCC(N)c1cc(=O)cccc1-2,18,<rdkit.Chem.rdchem.Mol object at 0x7f73b7fec350>,0,2
*c1ccc2c(c1)CCC(N)c1cc(=O)c(*)ccc1-2,18,<rdkit.Chem.rdchem.Mol object at 0x7f73b7fec970>,0,2
*c1ccc2c(c1*)-c1cccc(=O)cc1C(N)CC2,18,<rdkit.Chem.rdchem.Mol object at 0x7f73b7fec4a0>,0,2
*c1ccc2c(c1)-c1ccc(*)c(=O)cc1C(N)CC2,18,<rdkit.Chem.rdchem.Mol object at 0x7f73b7f247b0>,0,2
*c1cccc2c1-c1ccc(*)c(=O)cc1C(N)CC2,18,<rdkit.Chem.rdchem.Mol object at 0x7f73b7f25ee0>,0,2
*c1cc(F)cc(*)c1C(C)=NNC(N)=O,14,<rdkit.Chem.rdchem.Mol object at 0x7f73b7f502e0>,0,2
*c1ccc(*)c2c1C1CCC2c2ccccc21,16,<rdkit.Chem.rdchem.Mol object at 0x7f73b7f83ae0>,0,2
*c1cccc(S(=O)(=O)C(C)(CC)CCC)c1*,16,<rdkit.Chem.rdchem.Mol object at 0x7f73b7fb53f0>,0,2
*c1cccc(*)c1S(=O)(=O)C(C)(CC)CCC,16,<rdkit.Chem.rdchem.Mol object at 0x7f73b7fb4350>,0,2
